id,province,total airports,civil,military,proposed,former,airport ids
VN-CT,Cần Thơ,2,1,0,0,1,"1,44"
VN-DN,Đà Nẵng,2,1,1,0,0,"4,35"
VN-HN,Hà Nội,3,1,1,0,1,"6,29,46"
VN-HP,Hải Phòng,2,1,1,0,0,"5,30"
VN-SG,Hồ Chí Minh,1,1,0,0,0,7
VN-01,Lai Châu,0,0,0,0,0,
VN-02,Lào Cai,1,0,0,1,0,37
VN-03,Hà Giang,0,0,0,0,0,
VN-04,Cao Bằng,0,0,0,0,0,
VN-05,Sơn La,0,0,0,0,0,
VN-06,Yên Bái,1,0,1,0,0,33
VN-07,Tuyên Quang,0,0,0,0,0,
VN-09,Lạng Sơn,0,0,0,0,0,
VN-13,Quảng Ninh,1,1,0,0,0,11
VN-14,Hòa Bình,0,0,0,0,0,
VN-15,Hà Tây,1,0,1,0,0,28
VN-18,Ninh Bình,0,0,0,0,0,
VN-20,Thái Bình,0,0,0,0,0,
VN-21,Thanh Hóa,1,1,0,0,0,23
VN-22,Nghệ An,2,1,0,0,1,"21,49"
VN-23,Hà Tĩnh,0,0,0,0,0,
VN-24,Quảng Bình,1,1,0,0,0,16
VN-25,Quảng Trị,1,0,0,0,1,50
VN-26,Thừa Thiên–Huế,1,1,0,0,0,8
VN-27,Quảng Nam,1,1,0,0,0,2
VN-28,Kon Tum,0,0,0,0,0,
VN-29,Quảng Ngãi,0,0,0,0,0,
VN-30,Gia Lai,1,1,0,0,0,17
VN-31,Bình Định,1,1,0,0,0,18
VN-32,Phú Yên,1,1,0,0,0,20
VN-33,Đắk Lắk,2,1,0,0,1,"12,45"
VN-34,Khánh Hòa,4,1,2,0,1,"9,26,27,47"
VN-35,Lâm Đồng,4,1,1,0,2,"3,34,54,55"
VN-36,Ninh Thuận,1,0,1,0,0,31
VN-37,Tây Ninh,1,0,0,0,1,51
VN-39,Đồng Nai,3,0,1,1,1,"25,36,42"
VN-40,Bình Thuận,2,0,0,1,1,"38,43"
VN-41,Long An,1,0,0,0,1,48
VN-43,Bà Rịa–Vũng Tàu,2,2,0,0,0,"14,22"
VN-44,An Giang,1,0,0,1,0,39
VN-45,Đồng Tháp,0,0,0,0,0,
VN-46,Tiền Giang,0,0,0,0,0,
VN-47,Kiên Giang,3,2,0,0,1,"10,19,40"
VN-49,Vĩnh Long,1,0,0,0,1,53
VN-50,Bến Tre,1,0,0,0,1,41
VN-51,Trà Vinh,1,0,0,0,1,52
VN-52,Sóc Trăng,0,0,0,0,0,
VN-53,Bắc Kạn,0,0,0,0,0,
VN-54,Bắc Giang,1,0,1,0,0,24
VN-55,Bạc Liêu,0,0,0,0,0,
VN-56,Bắc Ninh,0,0,0,0,0,
VN-57,Bình Dương,1,0,0,0,1,56
VN-58,Bình Phước,0,0,0,0,0,
VN-59,Cà Mau,1,1,0,0,0,13
VN-61,Hải Dương,0,0,0,0,0,
VN-63,Hà Nam,0,0,0,0,0,
VN-66,Hưng Yên,0,0,0,0,0,
VN-67,Nam Định,0,0,0,0,0,
VN-68,Phú Thọ,0,0,0,0,0,
VN-69,Thái Nguyên,0,0,0,0,0,
VN-70,Vĩnh Phúc,0,0,0,0,0,
VN-71,Điện Biên,1,1,0,0,0,15
VN-72,Đắk Nông,0,0,0,0,0,
VN-73,Hậu Giang,0,0,0,0,0,